model,architecture,learning_rate,train_time_min,accuracy,precision,recall,f1,notes
baseline_cnn,3 conv blocks (6 Conv) -> Flatten -> Dropout(0.5),0.001,15.6,0.6988,0.6875,0.6569,0.6677,Baseline (val metrics). Overfits (~13% train-val gap); biased to dog/spider.
gap_cnn,3 conv blocks (6 Conv) -> GlobalAveragePooling -> Dropout(0.5),0.001,32.3,0.7403,0.7321,0.7111,0.7136,Flatten -> GAP (val metrics). Less overfit (~8% gap) and higher acc than baseline.
gap_bn_cnn,3 conv blocks (Conv-BN-ReLU) -> GlobalAveragePooling -> Dropout(0.5),0.001,62.6,0.6924,0.7526,0.6448,0.6593,GAP + BatchNorm (val metrics). Test if BN beats plain GAP.
gap_aug,3 conv blocks (6 Conv) -> GlobalAveragePooling -> Dropout(0.5) + augmentation,0.001,47.3,0.6677,0.6511,0.6433,0.63,GAP + train augmentation (flip/rotate/shift/zoom). Test if it cuts overfitting.
gap_aug2,3 conv blocks (6 Conv) -> GlobalAveragePooling -> Dropout(0.3) + augmentation,0.001,54.7,0.7179,0.7065,0.7053,0.6895,Augmentation retry: dropout 0.3 + 60 epochs. Test if augmentation pays off with less regularization / more training.
gap_deep,"4 conv blocks (8 Conv, +256) -> GlobalAveragePooling -> Dropout(0.5)",0.001,14.6,0.1859,0.0186,0.1,0.0314,"FAILED to train: plain deep CNN collapsed to ~chance at lr=0.001 (loss frozen ~ln 10, predicts majority class). Reproducible; would need BatchNorm or lower LR."
transfer_mobilenet,"MobileNetV2 (ImageNet, frozen) -> GlobalAveragePooling -> Dropout(0.5)",0.001,4.1,0.9404,0.9338,0.9309,0.9321,"Transfer learning (val metrics). Frozen ImageNet base, only head trained. Bonus / different approach."
transfer_mobilenet_aug,"MobileNetV2 (ImageNet, frozen) -> GlobalAveragePooling -> Dropout(0.5) + augmentation",0.001,4.5,0.9256,0.9162,0.9192,0.9172,Transfer learning + train augmentation (val metrics). Does augmentation beat plain transfer (model 7)?
